dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;47,000;0,115;29,774;61,554;2,000;77,690;34,000;4,845;0,170;4.782,127;-4,598;4,411;9,000;724,962;0,000;3,938;11,778;198,000
4;GINÉS;51,000;0,027;26,363;61,554;1,000;80,159;30,000;4,327;0,138;4.934,086;-4,857;4,652;6,000;574,685;0,000;3,425;9,336;183,000
6;VIRTUDES;41,000;0,037;25,783;61,554;2,000;95,934;38,000;4,593;0,192;5.905,111;-5,554;5,548;8,000;805,524;0,000;4,630;13,087;249,000
7;BUGUI;66,000;0,105;28,315;61,554;5,000;83,284;76,000;4,587;0,288;5.126,423;-6,798;4,831;15,000;1.008,463;0,000;5,337;16,383;304,000
8;JUAN MARIA;42,000;0,015;24,651;61,554;1,000;80,917;42,000;3,947;0,278;4.980,756;-4,488;4,756;9,000;821,658;0,000;4,475;13,349;208,000
9;LOREN;41,000;0,107;27,711;61,554;4,000;83,203;31,000;3,685;0,273;5.121,438;-4,755;4,882;9,000;772,429;0,000;3,953;12,549;185,000
10;SALVA;16,000;0,012;24,391;61,554;1,000;53,773;22,000;3,261;0,035;3.309,936;-4,356;2,930;1,000;346,459;0,000;2,088;5,629;113,000
11;ALAN;56,000;0,188;27,814;61,554;7,000;83,239;64,000;5,304;0,467;5.123,660;-5,288;4,777;18,000;1.140,545;0,000;5,788;18,529;279,000
12;A. TALARN;38,000;0,182;28,019;61,554;6,000;83,581;42,000;3,947;0,263;5.144,699;-6,082;4,855;11,000;782,494;0,000;4,172;12,712;191,000
14;POLACO;50,000;0,028;25,650;61,554;2,000;103,139;47,000;3,770;0,293;6.348,571;-6,724;5,715;13,000;899,149;0,000;4,652;14,608;251,000
15;MANU VIANA;43,000;0,058;27,476;61,554;3,000;80,664;52,000;4,752;0,195;4.965,145;-5,079;4,593;10,000;734,738;0,000;3,998;11,937;211,000
19;TOPO;56,000;0,242;29,138;61,554;6,000;92,936;56,000;3,882;0,415;5.720,556;-6,678;5,249;18,000;1.125,310;0,000;5,332;18,282;259,000
20;LALO;48,000;0,000;23,720;61,554;0,000;85,506;44,000;4,418;0,117;5.263,195;-5,155;4,896;5,000;690,213;0,000;3,982;11,213;217,000
22;PEPELU;39,000;0,118;28,596;61,554;3,000;75,686;33,000;4,481;0,127;4.658,765;-4,817;4,394;7,000;628,915;0,000;3,487;10,217;152,000
23;JOSEMI;67,000;0,358;29,870;61,554;9,000;81,023;52,000;4,424;0,437;4.987,254;-6,120;4,597;20,000;1.107,994;0,000;5,093;18,000;240,000
24;CELLOU;64,000;0,365;30,100;61,554;14,000;90,265;67,000;4,964;0,537;5.556,151;-5,412;5,246;23,000;1.291,670;0,000;5,872;20,984;275,000
25;PAJUELO;82,000;0,430;30,885;61,554;12,000;91,635;76,000;4,823;0,530;5.640,475;-6,220;5,205;25,000;1.340,366;0,000;6,073;21,776;297,000
26;MORO;49,000;0,108;27,164;61,554;4,000;72,464;35,000;4,433;0,262;4.460,456;-5,874;3,842;11,000;790,169;0,000;4,115;12,837;192,000
;;49,778;0,139;27,523;61,554;4,556;83,061;46,722;4,358;0,279;5.112,711;-5,492;4,743;12,111;865,875;0,000;4,467;14,067;222,444
