dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;35,000;0,005;23,713;77,434;0,000;36,319;17,000;4,912;0,052;2.812,329;-4,305;2,151;3,000;262,494;0,000;1,822;3,390;104,000
4;GINÉS;42,000;0,000;22,427;77,434;0,000;41,612;30,000;5,465;0,043;3.222,197;-4,327;2,445;2,000;282,482;0,000;2,053;3,648;133,000
6;VIRTUDES;34,000;0,000;23,058;77,434;0,000;36,888;18,000;4,742;0,033;2.856,369;-5,000;2,188;1,000;265,802;0,000;2,010;3,433;112,000
7;BUGUI;46,000;0,053;28,209;77,434;2,000;42,312;30,000;5,512;0,107;3.276,399;-5,911;2,507;5,000;424,422;0,000;2,545;5,481;134,000
8;JUAN MARIA;36,000;0,000;22,343;77,434;0,000;41,530;31,000;4,984;0,080;3.215,808;-4,621;2,532;4,000;374,361;0,000;2,300;4,835;131,000
9;LOREN;41,000;0,023;25,219;77,434;1,000;44,851;38,000;4,547;0,080;3.472,979;-4,806;2,729;4,000;377,354;0,000;2,370;4,873;133,000
10;SALVA;38,000;0,000;22,799;77,434;0,000;37,488;29,000;5,025;0,070;2.902,813;-5,799;2,176;4,000;306,554;0,000;2,020;3,959;115,000
11;ALAN;39,000;0,000;23,372;77,434;0,000;38,428;20,000;4,674;0,113;2.975,639;-3,803;2,366;5,000;419,600;0,000;2,605;5,419;129,000
12;A. TALARN;42,000;0,000;21,807;77,434;0,000;38,317;31,000;5,751;0,035;2.967,039;-4,082;2,302;1,000;309,282;0,000;2,430;3,994;145,000
14;POLACO;50,000;0,000;22,579;77,434;0,000;40,461;29,000;5,079;0,063;3.133,015;-4,888;2,354;2,000;331,582;0,000;2,383;4,282;146,000
15;MANU VIANA;38,000;0,045;26,102;77,434;2,000;39,119;31,000;4,741;0,035;3.029,165;-4,310;2,301;3,000;378,220;0,000;2,427;4,884;125,000
19;TOPO;63,000;0,007;23,718;77,434;0,000;44,961;41,000;5,445;0,092;3.481,486;-5,128;2,712;5,000;561,711;0,000;3,540;7,254;192,000
20;LALO;43,000;0,000;20,865;77,434;0,000;38,383;20,000;5,012;0,013;2.972,130;-4,409;2,176;0,000;316,058;0,000;2,425;4,082;140,000
22;PEPELU;28,000;0,007;24,467;77,434;0,000;35,126;16,000;5,089;0,052;2.719,946;-4,922;2,151;3,000;234,668;0,000;1,795;3,031;110,000
23;JOSEMI;54,000;0,027;24,708;77,434;1,000;47,430;38,000;5,434;0,100;3.672,707;-5,023;2,687;5,000;454,868;0,000;2,808;5,874;161,000
24;CELLOU;47,000;0,063;26,496;77,434;3,000;45,919;36,000;5,181;0,215;3.555,687;-4,863;2,742;10,000;588,710;0,000;3,163;7,603;167,000
25;PAJUELO;53,000;0,065;26,729;77,434;3,000;44,869;36,000;4,803;0,098;3.474,364;-5,093;2,641;6,000;465,722;0,000;2,918;6,014;169,000
26;MORO;34,000;0,020;26,072;77,434;1,000;42,247;33,000;4,623;0,103;3.271,306;-5,859;2,534;5,000;406,264;0,000;2,465;5,247;122,000
;;42,389;0,018;24,149;77,434;0,722;40,903;29,111;5,057;0,077;3.167,299;-4,842;2,427;3,778;375,564;0,000;2,449;4,850;137,111
