dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;50,000;0,008;24,151;78,357;1,000;45,100;22,000;4,686;0,025;3.533,898;-3,865;2,539;1,000;399,859;0,000;2,525;5,103;151,000
4;GINÉS;28,000;0,000;22,696;45,753;0,000;56,498;23,000;4,328;0,025;2.584,949;-3,848;3,368;1,000;266,739;0,000;1,745;5,830;109,000
6;VIRTUDES;37,000;0,000;20,334;78,357;0,000;55,670;31,000;4,406;0,003;4.362,127;-4,518;3,132;0,000;434,055;0,000;2,847;5,539;176,000
7;BUGUI;65,000;0,017;25,890;78,357;1,000;50,754;40,000;5,116;0,015;3.976,959;-4,843;2,566;1,000;551,139;0,000;3,523;7,034;215,000
8;JUAN MARIA;38,000;0,000;22,176;78,357;0,000;53,198;34,000;4,597;0,030;4.168,434;-4,280;2,822;2,000;471,651;0,000;2,962;6,019;171,000
9;LOREN;54,000;0,005;23,830;78,357;0,000;54,803;48,000;4,956;0,068;4.294,196;-4,809;2,913;2,000;536,817;0,000;3,490;6,851;215,000
10;SALVA;58,000;0,005;23,932;78,357;0,000;52,755;45,000;5,410;0,037;4.133,754;-4,532;2,822;1,000;628,646;0,000;3,857;8,023;213,000
11;ALAN;53,000;0,000;22,008;78,357;0,000;45,241;32,000;4,960;0,042;3.544,948;-4,299;2,443;1,000;436,053;0,000;2,823;5,565;179,000
12;A. TALARN;35,000;0,000;19,430;78,357;0,000;46,987;21,000;4,427;0,000;3.681,776;-4,127;2,639;0,000;313,700;0,000;2,110;4,003;136,000
14;POLACO;51,000;0,000;20,533;78,357;0,000;52,364;44,000;4,925;0,007;4.103,093;-5,038;2,795;0,000;463,532;0,000;3,082;5,916;195,000
16;RAFA;61,000;0,123;29,169;78,357;3,000;53,227;47,000;6,020;0,178;4.170,707;-5,178;2,893;9,000;664,741;0,000;3,548;8,483;210,000
19;TOPO;71,000;0,005;23,967;78,357;0,000;53,342;51,000;5,204;0,072;4.179,745;-4,990;2,867;3,000;631,715;0,000;3,737;8,062;231,000
20;LALO;54,000;0,000;20,366;78,357;0,000;46,372;27,000;4,635;0,002;3.633,585;-5,024;2,492;0,000;452,013;0,000;2,892;5,769;173,000
22;PEPELU;36,000;0,000;18,638;78,357;0,000;42,607;26,000;5,149;0,000;3.338,575;-4,020;2,444;0,000;299,180;0,000;2,048;3,818;138,000
23;JOSEMI;73,000;0,195;28,236;78,357;6,000;59,244;58,000;5,604;0,163;4.642,192;-4,808;3,110;9,000;830,340;0,000;4,245;10,597;241,000
24;CELLOU;76,000;0,068;27,554;78,357;2,000;55,880;43,000;5,444;0,087;4.378,633;-4,718;3,148;3,000;671,238;0,000;3,758;8,566;228,000
25;PAJUELO;63,000;0,000;22,280;78,357;0,000;51,240;45,000;5,207;0,042;4.015,037;-5,131;2,937;2,000;558,555;0,000;3,593;7,128;220,000
26;MORO;44,000;0,000;20,356;78,357;0,000;44,443;32,000;4,025;0,000;3.482,426;-5,028;2,433;0,000;401,998;0,000;2,648;5,130;164,000
;;52,611;0,024;23,086;76,546;0,722;51,096;37,167;4,950;0,044;3.901,391;-4,614;2,798;1,944;500,665;0,000;3,080;6,524;186,944
