dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;22,000;0,123;31,010;51,103;2,000;28,867;20,000;4,240;0,107;1.475,212;-4,358;4,903;5,000;327,379;0,000;1,398;6,406;71,000
4;GINÉS;93,000;0,157;27,476;103,090;8,000;94,160;105,000;4,857;0,428;9.706,934;-6,683;5,392;22,000;1.522,699;0,000;8,317;14,771;425,000
5;SALVI VERA;24,000;0,077;27,558;51,103;2,000;51,519;28,000;3,803;0,342;2.632,773;-5,355;6,393;10,000;546,577;0,000;2,625;10,696;118,000
8;JUAN MARIA;50,000;0,273;28,296;103,090;9,000;83,720;74,000;4,795;0,480;8.630,746;-5,298;6,658;20,000;1.464,668;0,000;6,938;14,208;317,000
9;LOREN;43,000;0,208;28,395;51,103;6,000;80,689;43,000;4,128;0,360;4.123,489;-6,250;5,897;14,000;879,364;0,000;3,643;17,208;166,000
10;SALVA;90,000;0,240;28,900;103,090;9,000;100,448;127,000;4,863;0,573;10.355,196;-6,024;6,536;32,000;1.811,830;0,000;8,713;17,575;445,000
11;ALAN;71,000;0,545;31,660;103,090;13,000;100,049;107,000;4,920;0,525;10.314,017;-6,490;6,502;23,000;2.066,626;0,000;8,853;20,047;408,000
12;A. TALARN;69,000;0,328;28,793;103,090;11,000;70,043;77,000;7,295;0,567;7.220,781;-5,861;5,343;23,000;1.366,625;0,000;6,752;13,257;327,000
14;POLACO;93,000;0,515;29,738;103,090;14,000;116,998;164,000;4,628;0,970;12.061,339;-6,702;6,991;38,000;2.502,744;0,000;11,768;24,277;564,000
15;MANU VIANA;24,000;0,118;27,235;51,103;5,000;48,948;29,000;5,630;0,192;2.501,418;-5,522;5,987;8,000;448,468;0,000;2,177;8,776;107,000
16;RAFA;72,000;0,548;33,101;103,090;12,000;72,559;78,000;4,900;0,788;7.480,079;-8,373;5,745;33,000;1.705,983;0,000;7,218;16,548;311,000
20;LALO;95,000;0,038;25,545;103,090;2,000;112,414;135,000;4,535;0,462;11.588,754;-6,003;6,283;21,000;1.762,810;0,000;9,293;17,100;507,000
22;PEPELU;59,000;0,128;29,746;103,090;3,000;90,470;77,000;4,221;0,327;9.326,569;-7,997;5,169;16,000;1.258,971;0,000;6,870;12,212;325,000
24;CELLOU;148,000;0,595;31,089;103,090;16,000;110,509;147,000;5,160;0,975;11.392,362;-5,951;6,616;39,000;2.595,770;0,000;12,073;25,180;587,000
25;PAJUELO;48,000;0,247;29,455;51,103;7,000;73,806;60,000;4,447;0,432;3.771,753;-6,697;4,150;15,000;957,411;0,000;4,427;18,735;215,000
;;66,733;0,276;29,200;85,761;7,933;82,347;84,733;4,828;0,502;7.505,428;-6,238;5,904;21,267;1.414,528;0,000;6,738;15,800;326,200
