dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;53,000;0,205;28,901;65,030;4,000;55,419;47,000;4,357;0,150;3.603,892;-4,409;3,093;7,000;624,254;0,000;3,633;9,599;232,000
5;SALVI VERA;53,000;0,108;28,552;65,030;2,000;68,539;67,000;4,950;0,162;4.457,088;-5,478;3,934;7,000;756,893;0,000;4,673;11,639;293,000
6;VIRTUDES;45,000;0,162;29,229;65,030;3,000;60,414;47,000;5,260;0,118;3.928,703;-4,168;3,382;4,000;598,883;0,000;3,510;9,209;228,000
7;BUGUI;61,000;0,220;30,612;65,030;4,000;60,049;55,000;6,696;0,150;3.904,978;-6,176;3,049;9,000;678,447;0,000;3,578;10,433;250,000
9;LOREN;53,000;0,225;28,289;65,030;4,000;63,007;45,000;4,056;0,195;4.097,313;-5,218;3,527;8,000;702,666;0,000;4,303;10,805;275,000
15;MANU VIANA;63,000;0,205;26,666;65,030;4,000;57,611;39,000;4,499;0,173;3.746,434;-4,233;3,313;8,000;668,284;0,000;3,670;10,277;231,000
19;TOPO;68,000;0,145;28,348;65,030;4,000;59,937;73,000;4,628;0,210;3.897,710;-5,659;3,363;7,000;730,348;0,000;4,453;11,231;299,000
23;JOSEMI;73,000;0,222;30,033;65,030;4,000;62,928;74,000;4,613;0,135;4.092,221;-5,281;3,502;7,000;806,120;0,000;4,642;12,396;313,000
25;PAJUELO;73,000;0,210;27,684;65,030;4,000;54,959;49,000;4,384;0,217;3.573,968;-5,247;3,091;10,000;699,192;0,000;4,313;10,752;264,000
26;MORO;66,000;0,242;28,076;65,030;5,000;61,155;65,000;4,263;0,165;3.976,897;-5,177;3,364;7,000;742,969;0,000;4,293;11,425;276,000
27;FERNANDO;71,000;0,253;30,299;65,030;4,000;63,872;60,000;5,620;0,173;4.153,581;-4,691;3,547;9,000;796,328;0,000;4,980;12,246;333,000
;;61,727;0,200;28,790;65,030;3,818;60,717;56,455;4,848;0,168;3.948,435;-5,067;3,379;7,545;709,489;0,000;4,186;10,910;272,182
