dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;127,000;0,070;27,639;81,505;3,000;70,258;84,000;5,659;0,187;5.726,367;-4,726;3,992;8,000;1.098,450;0,000;7,115;13,477;419,000
4;GINÉS;103,000;0,013;24,499;81,505;1,000;74,398;96,000;4,551;0,085;6.063,835;-5,483;4,273;3,000;925,112;0,000;6,308;11,350;379,000
5;SALVI VERA;108,000;0,095;27,432;81,505;3,000;76,571;110,000;4,854;0,122;6.240,913;-5,556;4,291;6,000;1.069,648;0,000;6,948;13,124;423,000
6;VIRTUDES;94,000;0,000;22,337;81,505;0,000;80,395;99,000;4,133;0,038;6.552,638;-4,844;4,502;2,000;1.038,004;0,000;7,273;12,735;438,000
7;BUGUI;135,000;0,025;24,464;81,505;1,000;70,292;117,000;4,782;0,155;5.729,191;-6,469;3,987;8,000;1.151,798;0,000;7,542;14,132;470,000
8;JUAN MARIA;80,000;0,020;24,777;81,505;1,000;73,359;93,000;4,844;0,102;5.979,179;-5,765;4,096;6,000;899,805;0,000;6,180;11,040;360,000
9;LOREN;87,000;0,013;25,463;81,505;1,000;75,555;95,000;4,766;0,057;6.158,108;-5,006;4,200;2,000;894,120;0,000;5,853;10,970;376,000
10;SALVA;114,000;0,000;21,880;81,505;0,000;70,641;115,000;4,583;0,035;5.757,607;-5,796;3,871;2,000;939,466;0,000;6,633;11,526;424,000
11;ALAN;109,000;0,013;24,097;81,505;0,000;72,173;97,000;4,609;0,112;5.882,484;-5,503;3,961;5,000;1.007,397;0,000;7,042;12,360;442,000
12;A. TALARN;81,000;0,047;27,776;81,505;1,000;68,934;91,000;4,564;0,067;5.618,499;-5,911;3,857;4,000;769,380;0,000;5,490;9,440;349,000
14;POLACO;93,000;0,000;23,331;81,505;0,000;81,754;93,000;5,223;0,153;6.663,397;-5,805;4,509;10,000;1.049,786;0,000;6,452;12,880;382,000
15;MANU VIANA;87,000;0,010;24,542;81,505;1,000;64,774;75,000;4,292;0,108;5.279,449;-4,523;3,649;5,000;764,985;0,000;5,265;9,386;318,000
19;TOPO;122,000;0,005;23,716;81,505;0,000;75,400;115,000;4,750;0,157;6.145,516;-5,236;4,184;7,000;1.144,647;0,000;7,405;14,044;448,000
20;LALO;85,000;0,018;25,679;81,505;1,000;73,224;94,000;4,276;0,053;5.968,110;-5,467;4,058;3,000;943,607;0,000;6,240;11,577;385,000
22;PEPELU;71,000;0,005;23,482;81,505;0,000;60,347;61,000;4,424;0,043;4.918,629;-4,504;3,358;2,000;616,182;0,000;4,432;7,560;252,000
23;JOSEMI;118,000;0,098;29,733;81,505;3,000;70,665;119,000;5,004;0,158;5.759,611;-5,791;3,866;8,000;1.146,181;0,000;7,680;14,063;445,000
25;PAJUELO;126,000;0,098;28,713;81,505;4,000;71,310;119,000;4,813;0,282;5.812,184;-6,186;3,960;14,000;1.199,549;0,000;7,570;14,717;456,000
26;MORO;122,000;0,005;24,406;81,505;1,000;78,701;130,000;4,795;0,295;6.414,524;-6,152;4,327;16,000;1.206,209;0,000;7,027;14,799;425,000
;;103,444;0,030;25,220;81,505;1,167;72,708;100,167;4,718;0,123;5.926,125;-5,485;4,052;6,167;992,463;0,000;6,581;12,177;399,500
