dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;64,000;0,347;31,227;89,267;8,000;61,210;51,000;4,718;0,333;5.464,040;-5,977;3,423;15,000;1.013,037;0,000;5,050;11,348;248,000
4;GINÉS;60,000;0,475;34,021;89,267;10,000;66,537;49,000;4,859;0,165;5.939,487;-6,640;3,781;11,000;966,542;0,000;4,517;10,828;226,000
6;VIRTUDES;49,000;0,230;30,325;89,267;5,000;70,772;59,000;4,513;0,213;6.317,581;-5,952;3,954;9,000;1.014,544;0,000;5,370;11,365;277,000
7;BUGUI;79,000;0,327;33,659;89,267;9,000;62,931;74,000;5,483;0,367;5.617,589;-6,486;3,363;19,000;1.293,906;0,000;6,473;14,495;340,000
8;JUAN MARIA;45,000;0,265;31,675;89,267;5,000;71,732;57,000;4,277;0,283;6.403,292;-4,937;4,063;10,000;918,683;0,000;4,867;10,291;266,000
9;LOREN;57,000;0,278;31,675;89,267;7,000;72,490;87,000;4,843;0,397;6.470,891;-6,597;4,091;16,000;1.220,447;0,000;5,958;13,672;313,000
10;SALVA;32,000;0,212;30,195;89,267;4,000;40,313;29,000;5,012;0,112;3.598,595;-6,169;2,336;5,000;531,811;0,000;2,745;5,958;142,000
11;ALAN;58,000;0,213;30,563;89,267;4,000;63,078;44,000;4,184;0,145;5.630,745;-4,917;3,520;7,000;850,668;0,000;4,563;9,530;239,000
12;A. TALARN;42,000;0,315;31,329;89,267;6,000;64,861;55,000;4,651;0,247;5.789,926;-6,623;3,638;12,000;923,190;0,000;4,680;10,342;242,000
14;POLACO;77,000;0,355;31,889;89,267;9,000;75,986;94,000;4,952;0,213;6.782,980;-6,771;4,273;13,000;1.280,473;0,000;6,437;14,344;347,000
15;MANU VIANA;50,000;0,282;30,275;89,267;6,000;63,942;54,000;4,674;0,318;5.707,839;-6,390;3,713;14,000;966,207;0,000;4,937;10,824;250,000
19;TOPO;64,000;0,422;31,484;89,267;9,000;69,523;80,000;5,313;0,638;6.206,034;-6,083;3,914;25,000;1.272,024;0,000;5,610;14,250;296,000
20;LALO;82,000;0,267;30,448;89,267;8,000;73,777;82,000;4,619;0,397;6.585,770;-7,044;4,096;15,000;1.268,201;0,000;6,253;14,207;339,000
22;PEPELU;38,000;0,290;31,196;89,267;6,000;61,467;43,000;4,927;0,218;5.486,904;-5,689;3,486;12,000;802,922;0,000;3,965;8,995;190,000
23;JOSEMI;82,000;0,527;31,733;89,267;15,000;65,109;81,000;5,319;0,365;5.812,050;-6,261;3,697;21,000;1.269,132;0,000;5,935;14,217;322,000
24;CELLOU;71,000;0,537;32,721;89,267;10,000;70,479;73,000;5,338;0,372;6.291,433;-6,143;4,093;19,000;1.425,996;0,000;6,505;15,975;329,000
25;PAJUELO;82,000;0,403;31,771;89,267;9,000;63,784;62,000;5,422;0,368;5.693,794;-7,439;3,635;18,000;1.173,644;0,000;5,572;13,148;289,000
26;MORO;55,000;0,403;30,370;89,267;10,000;63,952;59,000;4,285;0,370;5.708,733;-6,492;3,635;18,000;1.086,119;0,000;4,898;12,167;240,000
;;60,389;0,341;31,475;89,266;7,778;65,663;62,944;4,855;0,307;5.861,538;-6,256;3,706;14,389;1.070,975;0,000;5,241;11,998;271,944
