dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;19,000;0,017;25,042;57,898;1,000;40,778;6,000;4,405;0,067;2.360,952;-3,695;2,332;3,000;209,763;0,000;1,118;3,623;60,000
4;GINÉS;25,000;0,000;22,598;57,898;0,000;33,261;17,000;5,266;0,042;1.925,772;-4,201;1,701;2,000;219,013;0,000;1,427;3,783;78,000
6;VIRTUDES;20,000;0,000;20,121;57,898;0,000;36,495;14,000;4,315;0,002;2.113,006;-4,506;1,967;0,000;183,101;0,000;1,282;3,162;76,000
7;BUGUI;34,000;0,000;20,850;57,898;0,000;44,050;19,000;6,298;0,005;2.550,427;-4,621;2,321;0,000;246,922;0,000;1,523;4,265;93,000
8;JUAN MARIA;24,000;0,000;19,799;57,898;0,000;38,013;18,000;3,871;0,000;2.200,884;-5,262;2,132;0,000;181,614;0,000;1,290;3,137;79,000
9;LOREN;24,000;0,000;21,091;57,898;0,000;49,128;37,000;4,171;0,013;2.844,423;-5,024;2,948;1,000;448,447;0,000;2,818;7,745;136,000
10;SALVA;22,000;0,000;19,578;57,898;0,000;39,852;34,000;4,360;0,000;2.307,345;-4,925;2,309;0,000;240,888;0,000;1,673;4,161;103,000
11;ALAN;24,000;0,000;20,308;57,898;0,000;33,707;15,000;3,812;0,000;1.951,560;-3,977;1,780;0,000;200,845;0,000;1,370;3,469;74,000
12;A. TALARN;30,000;0,000;20,680;57,898;0,000;38,404;12,000;3,967;0,003;2.223,501;-3,680;2,117;0,000;261,800;0,000;1,658;4,522;78,000
14;POLACO;25,000;0,000;19,208;57,898;0,000;33,473;19,000;4,285;0,000;1.937,998;-3,623;1,790;0,000;180,627;0,000;1,362;3,120;79,000
15;MANU VIANA;25,000;0,020;25,587;57,898;1,000;36,119;20,000;4,011;0,043;2.091,252;-5,041;2,025;2,000;245,938;0,000;1,540;4,248;80,000
19;TOPO;32,000;0,000;21,271;57,898;0,000;41,604;34,000;4,679;0,008;2.408,771;-3,934;2,345;1,000;279,226;0,000;2,162;4,823;127,000
20;LALO;20,000;0,000;20,164;57,898;0,000;35,244;8,000;4,626;0,000;2.040,564;-4,024;1,681;0,000;174,168;0,000;1,157;3,008;65,000
22;PEPELU;19,000;0,000;22,202;57,898;0,000;35,146;11,000;3,845;0,012;2.034,903;-3,640;1,828;1,000;175,348;0,000;1,113;3,029;53,000
23;JOSEMI;28,000;0,000;22,127;57,898;0,000;42,391;23,000;5,531;0,035;2.454,382;-4,584;2,173;1,000;251,533;0,000;1,558;4,344;87,000
24;CELLOU;23,000;0,000;22,280;57,898;0,000;43,672;15,000;4,688;0,032;2.528,523;-4,224;2,167;2,000;223,609;0,000;1,380;3,862;84,000
25;PAJUELO;23,000;0,022;26,041;57,898;1,000;40,191;18,000;4,154;0,020;2.326,963;-4,398;2,188;1,000;277,131;0,000;1,773;4,787;95,000
26;MORO;38,000;0,000;21,478;57,898;0,000;50,393;48,000;4,831;0,017;2.917,640;-5,833;2,961;0,000;490,636;0,000;2,917;8,474;146,000
;;25,278;0,003;21,690;57,898;0,167;39,551;20,444;4,506;0,017;2.289,937;-4,399;2,154;0,778;249,478;0,000;1,618;4,309;88,500
