dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;36,000;0,000;21,454;82,986;0,000;39,183;27,000;4,818;0,022;3.251,673;-3,990;2,179;2,000;407,730;0,000;2,822;4,913;150,000
4;GINÉS;47,000;0,000;22,911;82,986;0,000;42,587;32,000;4,972;0,063;3.534,112;-4,861;2,391;4,000;418,825;0,000;2,725;5,047;172,000
6;VIRTUDES;29,000;0,000;20,568;71,937;0,000;42,695;23,000;4,392;0,003;3.071,312;-4,645;2,681;0,000;393,691;0,000;2,630;5,473;159,000
7;BUGUI;47,000;0,000;23,230;82,986;0,000;46,428;46,000;5,503;0,128;3.852,917;-5,699;2,395;7,000;569,206;0,000;3,513;6,859;193,000
8;JUAN MARIA;36,000;0,000;23,241;82,986;0,000;43,492;37,000;5,265;0,123;3.609,256;-4,615;2,600;8,000;476,535;0,000;3,022;5,742;187,000
9;LOREN;36,000;0,000;20,708;82,986;0,000;38,644;28,000;4,003;0,003;3.206,942;-4,730;1,841;0,000;402,163;0,000;2,608;4,846;141,000
10;SALVA;49,000;0,003;23,600;82,986;0,000;40,793;44,000;5,323;0,045;3.385,261;-6,372;2,273;3,000;456,118;0,000;2,802;5,496;165,000
11;ALAN;49,000;0,000;20,831;82,986;0,000;40,351;32,000;4,675;0,003;3.348,547;-4,096;2,107;0,000;405,138;0,000;2,713;4,882;164,000
12;A. TALARN;43,000;0,000;21,768;82,986;0,000;41,709;26,000;4,656;0,018;3.461,251;-5,047;2,274;2,000;439,047;0,000;2,965;5,291;175,000
14;POLACO;26,000;0,000;23,102;82,986;0,000;40,989;28,000;4,799;0,055;3.401,567;-5,370;2,155;2,000;457,420;0,000;2,865;5,512;165,000
15;MANU VIANA;31,000;0,000;21,283;82,986;0,000;39,448;30,000;4,497;0,025;3.273,647;-4,362;2,024;0,000;373,300;0,000;2,483;4,498;141,000
19;TOPO;45,000;0,000;22,949;82,986;0,000;39,497;33,000;4,549;0,053;3.277,698;-5,072;1,890;3,000;443,625;0,000;2,808;5,346;159,000
20;LALO;54,000;0,000;21,736;82,986;0,000;39,663;30,000;4,679;0,025;3.291,513;-5,937;2,197;1,000;479,682;0,000;2,988;5,780;161,000
22;PEPELU;39,000;0,000;21,422;82,986;0,000;38,485;21,000;4,825;0,012;3.193,732;-4,256;2,220;1,000;323,268;0,000;2,242;3,895;129,000
23;JOSEMI;64,000;0,032;25,915;82,986;2,000;46,095;59,000;5,525;0,142;3.825,241;-6,386;2,409;8,000;653,894;0,000;3,520;7,880;214,000
24;CELLOU;54,000;0,000;23,398;82,986;0,000;41,762;38,000;5,107;0,097;3.465,657;-4,317;2,182;4,000;548,957;0,000;3,107;6,615;184,000
25;PAJUELO;57,000;0,000;22,485;82,986;0,000;40,173;37,000;5,431;0,025;3.333,832;-5,249;2,005;1,000;533,209;0,000;3,407;6,425;194,000
26;MORO;46,000;0,000;23,065;82,986;0,000;40,293;39,000;4,987;0,073;3.343,783;-5,271;2,157;5,000;501,264;0,000;3,247;6,040;190,000
;;43,778;0,002;22,426;82,373;0,111;41,238;33,889;4,889;0,051;3.395,997;-5,015;2,221;2,833;460,171;0,000;2,915;5,586;169,056
