dorsal;player;num_acc_expl;time_vrange6;max_speed;time;sprints;minute_distance;num_dec_expl;max_acc;time_vrange5;total_distance;max_dec;average_speed;num_hsr;hmld;player_load;hmld_time;hmld_relative;hmld_count
3;CONNOR;26,000;0,140;31,400;55,200;3,000;31,200;24,000;4,310;0,120;1.720,500;-4,500;5,100;6,000;380,200;0,000;1,550;6,800;80,000
4;GINÉS;68,000;0,215;32,800;101,000;14,000;99,500;89,000;4,820;0,345;10.050,000;-6,500;5,970;24,000;1.540,200;0,000;8,200;15,300;410,000
5;SALVI VERA;28,000;0,090;27,800;55,200;3,000;53,400;30,000;3,950;0,380;2.950,200;-5,400;6,500;12,000;610,000;0,000;2,900;11,100;130,000
8;JUAN MARIA;55,000;0,290;28,600;101,000;10,000;85,100;80,000;4,850;0,510;8.850,300;-5,450;6,720;22,000;1.520,400;0,000;7,200;14,600;330,000
9;LOREN;46,000;0,220;28,700;55,200;7,000;82,400;47,000;4,200;0,390;4.550,100;-6,300;5,950;16,000;940,200;0,000;3,900;17,800;180,000
10;SALVA;91,000;0,010;26,010;82,000;1,000;121,950;103,000;4,750;0,165;10.000,000;-6,100;7,310;14,000;1.650,200;0,000;8,100;16,500;390,000
11;ALAN;75,000;0,580;32,100;101,000;14,000;102,500;112,000;4,980;0,560;10.660,200;-6,600;6,620;26,000;2.180,400;0,000;9,200;20,800;425,000
12;A. TALARN;72,000;0,350;29,100;101,000;12,000;72,300;82,000;7,350;0,600;7.520,400;-5,950;5,450;25,000;1.440,100;0,000;7,100;13,800;345,000
14;POLACO;98,000;0,550;30,100;101,000;15,000;117,500;170,000;4,710;1,020;12.220,500;-6,850;7,110;41,000;2.610,800;0,000;12,200;25,100;580,000
15;MANU VIANA;90,000;0,211;30,720;101,000;17,000;119,300;137,000;5,650;0,507;12.050,000;-6,800;7,150;35,000;2.450,800;0,000;11,500;23,500;550,000
16;RAFA;78,000;0,590;33,400;101,000;14,000;78,100;84,000;5,010;0,840;8.120,700;-8,450;5,920;36,000;1.840,200;0,000;7,800;17,200;335,000
20;LALO;126,000;0,018;25,750;101,000;1,000;118,910;133,000;4,700;0,081;12.010,000;-6,200;7,130;12,000;1.820,400;0,000;9,500;16,800;510,000
22;PEPELU;63,000;0,140;30,100;101,000;4,000;92,100;82,000;4,300;0,350;9.580,600;-8,100;5,300;18,000;1.330,400;0,000;7,200;12,800;340,000
24;CELLOU;125,000;0,285;29,070;76,000;19,000;132,890;134,000;5,150;0,679;10.100,000;-6,400;7,970;44,000;2.350,100;0,000;11,200;24,800;530,000
25;PAJUELO;52,000;0,270;29,900;55,200;8,000;75,200;65,000;4,520;0,460;4.150,800;-6,820;4,320;17,000;1.020,300;0,000;4,700;19,400;230,000
;;71,133;0,250;32,800;101,000;8,733;84,400;89,667;4,895;0,430;114.700,000;-6,366;6,036;23,867;1.503,427;0,000;7,147;16,333;347,000
